Medtr1g028100.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g028130.1	GO:0004672,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g028170.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g028210.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g028220.1	GO:0004672,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g028230.1	GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0016772
Medtr1g028280.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g028280.2	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g028290.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g028300.1	GO:0003824,GO:0004722,GO:0006470
Medtr1g028310.1	GO:0005515
Medtr1g028310.2	GO:0005515
Medtr1g028320.1	GO:0005975,GO:0006098,GO:0017057
Medtr1g028330.1	GO:0005975,GO:0006098,GO:0017057
Medtr1g028360.1	GO:0003824
Medtr1g028390.1	GO:0000166,GO:0004222,GO:0005524,GO:0016020,GO:0017111,GO:0030163
Medtr1g028440.1	GO:0000166,GO:0003676
Medtr1g028470.1	GO:0046983
Medtr1g028480.1	GO:0003677,GO:0046982
Medtr1g028510.1	GO:0004326,GO:0005524,GO:0009058,GO:0009396,GO:0016874
Medtr1g028510.2	GO:0004326,GO:0005524,GO:0009058,GO:0009396
Medtr1g028540.1	GO:0016881
Medtr1g028560.1	GO:0003677,GO:0003700,GO:0006355
Medtr1g028600.1	GO:0005315,GO:0006817,GO:0016021
Medtr1g028720.1	GO:0000166,GO:0006952,GO:0017111
Medtr1g028890.1	GO:0004672,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g028890.2	GO:0004672,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g028960.1	GO:0005737,GO:0017089,GO:0046836,GO:0051861
Medtr1g028970.1	GO:0005737,GO:0017089,GO:0046836,GO:0051861
Medtr1g028970.2	GO:0005737,GO:0017089,GO:0046836,GO:0051861
Medtr1g028970.3	GO:0005737,GO:0017089,GO:0046836,GO:0051861
Medtr1g029070.1	GO:0003677,GO:0046982
Medtr1g029100.1	GO:0046982
Medtr1g029150.1	GO:0006631,GO:0016491,GO:0045300,GO:0046914,GO:0055114
Medtr1g029330.1	GO:0005515
Medtr1g029410.1	GO:0003676,GO:0003824,GO:0004527,GO:0005622,GO:0008152
Medtr1g029410.2	GO:0003676,GO:0004527,GO:0005622
Medtr1g029450.1	GO:0003924,GO:0005525,GO:0005622,GO:0006184,GO:0006886,GO:0006913,GO:0007165,GO:0007264,GO:0015031
Medtr1g029490.1	GO:0005515
Medtr1g029540.1	GO:0008152,GO:0016758
Medtr1g029580.1	GO:0003700,GO:0006355
Medtr1g029610.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g029620.1	GO:0003951,GO:0008152,GO:0019674
Medtr1g029620.2	GO:0003951,GO:0008152,GO:0019674
Medtr1g029650.1	GO:0005515
Medtr1g029670.1	GO:0003677,GO:0003700,GO:0005634,GO:0006355,GO:0046983
Medtr1g029690.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g029710.1	GO:0003676,GO:0008270
Medtr1g029710.11	GO:0003676,GO:0008270
Medtr1g029710.13	GO:0003676,GO:0008270
Medtr1g029710.16	GO:0003676,GO:0008270
Medtr1g029710.17	GO:0003676,GO:0008270
Medtr1g029710.2	GO:0003676,GO:0008270
Medtr1g029710.3	GO:0003676,GO:0008270
Medtr1g029710.4	GO:0003676,GO:0008270
Medtr1g029710.5	GO:0003676,GO:0008270
Medtr1g029710.6	GO:0003676,GO:0008270
Medtr1g029710.8	GO:0003676,GO:0008270
Medtr1g029720.1	GO:0005515
Medtr1g029790.1	GO:0005488,GO:0005515
Medtr1g029810.1	GO:0004190,GO:0006508
Medtr1g029810.2	GO:0004190,GO:0006508
Medtr1g029840.1	GO:0004030,GO:0006081,GO:0008152,GO:0016491,GO:0016620,GO:0055114
Medtr1g029840.2	GO:0004030,GO:0006081,GO:0008152,GO:0016491,GO:0016620,GO:0055114
Medtr1g029850.1	GO:0005515
Medtr1g029860.1	GO:0005515,GO:0008270
Medtr1g029910.1	GO:0005515,GO:0008270
Medtr1g029930.1	GO:0004672,GO:0004713,GO:0005515,GO:0005524,GO:0006468,GO:0016772
Medtr1g029940.1	GO:0004672,GO:0004674,GO:0004713,GO:0005515,GO:0005524,GO:0006468,GO:0016772
Medtr1g029950.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g030300.1	GO:0005515
Medtr1g030440.1	GO:0005509
Medtr1g030450.1	GO:0000166,GO:0003824,GO:0004488,GO:0009396,GO:0055114
Medtr1g030480.1	GO:0005506,GO:0016491,GO:0016705,GO:0051537,GO:0055114
Medtr1g030630.1	GO:0030001,GO:0046872
Medtr1g030650.1	GO:0005524,GO:0006457,GO:0044267,GO:0051082
Medtr1g030720.1	GO:0003824,GO:0008152
Medtr1g030720.2	GO:0003824,GO:0008152
Medtr1g030750.1	GO:0003824,GO:0004514,GO:0009435,GO:0016763,GO:0019363
Medtr1g030770.1	GO:0006952
Medtr1g031140.1	GO:0003676,GO:0004003,GO:0004386,GO:0005524,GO:0006281,GO:0006310
Medtr1g031150.1	GO:0016787
Medtr1g031150.2	GO:0016787
Medtr1g031180.1	GO:0000166,GO:0008152,GO:0016491
Medtr1g031200.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g031220.1	GO:0004672,GO:0005524,GO:0006468,GO:0016772
Medtr1g031280.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g031320.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g031400.1	GO:0004672,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g031430.1	GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0016772
Medtr1g031450.1	GO:0004672,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g031460.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g031510.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g031520.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g031530.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g031540.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g031540.2	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g031560.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g031580.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g031650.1	GO:0005515
Medtr1g031650.2	GO:0005515
Medtr1g031690.1	GO:0003677,GO:0003918,GO:0005524,GO:0005694,GO:0006259,GO:0006265,GO:0034618,GO:0051259
Medtr1g031700.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g031710.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g031750.1	GO:0005488,GO:0005515
Medtr1g031750.2	GO:0005488,GO:0005515
Medtr1g031750.3	GO:0005488,GO:0005515
Medtr1g031780.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g031790.1	GO:0003824
Medtr1g031830.1	GO:0000166,GO:0006952,GO:0017111
Medtr1g031880.1	GO:0005875,GO:0007017
Medtr1g031890.1	GO:0003735,GO:0006412,GO:0015934
Medtr1g031890.2	GO:0003735,GO:0006412,GO:0015934
Medtr1g031890.3	GO:0003735,GO:0006412,GO:0015934
Medtr1g031890.4	GO:0003735,GO:0006412,GO:0015934
Medtr1g031890.5	GO:0003735,GO:0006412,GO:0015934
Medtr1g031900.1	GO:0003824,GO:0004553,GO:0005975
Medtr1g031900.2	GO:0003824,GO:0004553,GO:0005975
Medtr1g032070.1	GO:0005509
Medtr1g032100.1	GO:0005515
Medtr1g032110.1	GO:0005488
Medtr1g032110.2	GO:0005488
Medtr1g032140.1	GO:0016491,GO:0016706,GO:0055114
Medtr1g032220.1	GO:0016491,GO:0016706,GO:0055114
Medtr1g032240.1	GO:0016491,GO:0016706,GO:0055114
Medtr1g032250.1	GO:0016491,GO:0016706,GO:0055114
Medtr1g032260.1	GO:0005622,GO:0008270
Medtr1g032290.1	GO:0016787
Medtr1g032430.1	GO:0008759,GO:0009245
Medtr1g032430.2	GO:0008759,GO:0009245
Medtr1g032440.1	GO:0005515,GO:0008270
Medtr1g032450.1	GO:0003723,GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015935
Medtr1g032480.1	GO:0005515
Medtr1g032490.1	GO:0008152,GO:0016758
Medtr1g032500.1	GO:0016787
Medtr1g032500.2	GO:0016787
Medtr1g032540.1	GO:0000786,GO:0003677,GO:0006334
Medtr1g032550.1	GO:0003924,GO:0005525
Medtr1g032570.1	GO:0000156,GO:0000160,GO:0003677,GO:0006355
Medtr1g032570.2	GO:0000156,GO:0000160,GO:0003677,GO:0006355
Medtr1g032570.3	GO:0000156,GO:0000160,GO:0003677,GO:0006355
Medtr1g032600.1	GO:0046983
Medtr1g032600.2	GO:0046983
Medtr1g032730.1	GO:0003824,GO:0005992,GO:0008152
Medtr1g032860.1	GO:0000166,GO:0003676
Medtr1g032930.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g032950.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g032980.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g033000.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g033010.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g033040.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g033240.1	GO:0003723,GO:0005525,GO:0005622
Medtr1g033280.1	GO:0005515
Medtr1g033310.1	GO:0005515
Medtr1g033340.1	GO:0008270
Medtr1g033440.1	GO:0005488
Medtr1g033480.1	GO:0008152
Medtr1g033560.1	GO:0005509,GO:0005544
Medtr1g033600.1	GO:0003677,GO:0003682
Medtr1g033620.1	GO:0003677
Medtr1g033810.1	GO:0016491,GO:0016706,GO:0055114
Medtr1g033840.1	GO:0005515
Medtr1g033880.1	GO:0005545,GO:0030118,GO:0030276,GO:0048268
Medtr1g034000.1	GO:0005488,GO:0005515
Medtr1g034030.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g034030.2	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g034060.1	GO:0005506,GO:0016491,GO:0016706,GO:0055114
Medtr1g034120.1	GO:0005506,GO:0016491,GO:0016706,GO:0055114
Medtr1g034140.1	GO:0005506,GO:0016491,GO:0016706,GO:0055114
Medtr1g034190.1	GO:0005515,GO:0007154,GO:0035091
Medtr1g034210.1	GO:0003677,GO:0006355
Medtr1g034210.2	GO:0003677,GO:0006355
Medtr1g034210.3	GO:0003677,GO:0006355
Medtr1g034240.1	GO:0003677,GO:0006355
Medtr1g034300.1	GO:0003924,GO:0004871,GO:0007165,GO:0007186,GO:0019001,GO:0031683
Medtr1g034300.2	GO:0003924,GO:0004871,GO:0007165,GO:0007186,GO:0019001,GO:0031683
Medtr1g034320.1	GO:0004497,GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g034330.1	GO:0004497,GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g034390.1	GO:0035556
Medtr1g034500.1	GO:0003700,GO:0006355,GO:0043565
Medtr1g034785.1	GO:0005515
Medtr1g035010.1	GO:0003677,GO:0005634
Medtr1g035030.1	GO:0000166
Medtr1g035130.1	GO:0000166,GO:0003676,GO:0003723,GO:0005634,GO:0008270
Medtr1g035130.2	GO:0000166,GO:0003676,GO:0003723,GO:0005634,GO:0008270
Medtr1g035130.3	GO:0000166,GO:0003676,GO:0003723,GO:0005634,GO:0008270
Medtr1g035130.4	GO:0000166,GO:0003676,GO:0003723,GO:0005634,GO:0008270
Medtr1g035130.5	GO:0000166,GO:0003676,GO:0003723,GO:0005634,GO:0008270
Medtr1g035130.6	GO:0000166,GO:0003676,GO:0003723,GO:0005634,GO:0008270
Medtr1g035140.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g035190.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g035230.1	GO:0003872,GO:0005524,GO:0005945,GO:0006096,GO:0047334
Medtr1g035250.1	GO:0005515
Medtr1g035260.1	GO:0003676,GO:0008168,GO:0032259
Medtr1g035330.1	GO:0003676,GO:0004386,GO:0005524
Medtr1g035350.1	GO:0005515
Medtr1g035360.1	GO:0003755,GO:0006457
Medtr1g035400.1	GO:0005515,GO:0005634,GO:0008270,GO:0018024,GO:0034968,GO:0042393
Medtr1g035420.1	GO:0005515,GO:0005634,GO:0008270,GO:0018024,GO:0034968,GO:0042393
Medtr1g035420.2	GO:0005515,GO:0005634,GO:0008270,GO:0018024,GO:0034968,GO:0042393
Medtr1g035460.1	GO:0003677,GO:0006355
Medtr1g035490.1	GO:0003677,GO:0006355
Medtr1g035520.1	GO:0003677,GO:0006355
Medtr1g035540.1	GO:0003677,GO:0006355
Medtr1g035570.1	GO:0003677,GO:0006355
Medtr1g035580.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g035620.1	GO:0003677,GO:0006355
Medtr1g035640.1	GO:0003677,GO:0006355
Medtr1g035670.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g035690.1	GO:0009055,GO:0015035,GO:0035556,GO:0045454
Medtr1g035750.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g035760.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g035770.1	GO:0004866
Medtr1g035790.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g035800.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g035830.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g035860.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g035940.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g036010.1	GO:0004497,GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g036130.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g036140.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g036200.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g036270.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g036290.1	GO:0005515,GO:0008270
Medtr1g036370.1	GO:0005515,GO:0008270
Medtr1g036390.1	GO:0008270
Medtr1g036390.2	GO:0008270
Medtr1g036390.3	GO:0008270
Medtr1g036410.1	GO:0008519,GO:0016020,GO:0072488
Medtr1g036430.1	GO:0000166,GO:0003676
Medtr1g036460.1	GO:0008168
Medtr1g036490.1	GO:0008168
Medtr1g036510.1	GO:0008168
Medtr1g036510.2	GO:0008168
Medtr1g036520.1	GO:0006952
Medtr1g036520.2	GO:0006952
Medtr1g036750.1	GO:0000166,GO:0006952,GO:0017111
Medtr1g036800.1	GO:0000166,GO:0006952,GO:0017111
Medtr1g036860.1	GO:0000166,GO:0006952,GO:0017111
Medtr1g037010.1	GO:0000166,GO:0006952,GO:0017111
Medtr1g037010.2	GO:0000166,GO:0006952,GO:0017111
Medtr1g037010.3	GO:0000166,GO:0006952,GO:0017111
Medtr1g037130.1	GO:0000166,GO:0006952,GO:0017111
Medtr1g037150.1	GO:0000166,GO:0006952,GO:0017111
Medtr1g037250.1	GO:0000166,GO:0006952,GO:0017111
Medtr1g037280.1	GO:0005488
Medtr1g037280.2	GO:0005488
Medtr1g037280.3	GO:0005488
Medtr1g037310.1	GO:0005515,GO:0005524,GO:0008270
Medtr1g037320.1	GO:0003824,GO:0004553,GO:0005975
Medtr1g037340.1	GO:0003824,GO:0004553,GO:0005975
Medtr1g037370.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g037450.1	GO:0016998
Medtr1g037490.1	GO:0005515
Medtr1g037500.1	GO:0003774,GO:0005515,GO:0005524,GO:0016459
Medtr1g037550.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g037560.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g037580.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g037590.1	GO:0005515
Medtr1g037610.1	GO:0006952
Medtr1g037680.1	GO:0006662,GO:0009055,GO:0015035,GO:0045454
Medtr1g037730.1	GO:0006952
Medtr1g037750.1	GO:0005515,GO:0008270
Medtr1g037830.1	GO:0003824,GO:0008152
Medtr1g037850.1	GO:0003824,GO:0008152
Medtr1g038300.1	GO:0003677,GO:0003700,GO:0005634,GO:0006355,GO:0046983
Medtr1g038340.1	GO:0003676
Medtr1g038340.2	GO:0003676
Medtr1g038370.1	GO:0005515
Medtr1g038380.1	GO:0003676,GO:0005515
Medtr1g038390.1	GO:0005515
Medtr1g038400.1	GO:0005515
Medtr1g038530.1	GO:0003824,GO:0008152
Medtr1g038600.1	GO:0005215,GO:0006810,GO:0016020,GO:0022891,GO:0055085
Medtr1g038630.1	GO:0005215,GO:0006810,GO:0016020,GO:0022891,GO:0055085
Medtr1g038680.1	GO:0004601,GO:0006979,GO:0020037,GO:0055114
Medtr1g038760.1	GO:0005515
Medtr1g038760.2	GO:0005515
Medtr1g038760.3	GO:0005515
Medtr1g038793.1	GO:0003774,GO:0005515,GO:0005524,GO:0016459
Medtr1g038803.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g038810.1	GO:0046856
Medtr1g038810.2	GO:0046856
Medtr1g038850.1	GO:0005488
Medtr1g038860.1	GO:0005515
Medtr1g038890.1	GO:0004672,GO:0004713,GO:0005515,GO:0005524,GO:0006468,GO:0016772
Medtr1g038920.1	GO:0004046,GO:0005737,GO:0006508,GO:0006520,GO:0008237
Medtr1g038920.2	GO:0004046,GO:0005737,GO:0006508,GO:0006520,GO:0008237
Medtr1g039010.1	GO:0004046,GO:0005737,GO:0006508,GO:0006520,GO:0008237
Medtr1g039040.1	GO:0003677,GO:0005634,GO:0006355,GO:0043565,GO:0046982
Medtr1g039080.1	GO:0004672,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g039090.1	GO:0005515
Medtr1g039220.1	GO:0004672,GO:0004713,GO:0005515,GO:0005524,GO:0006468,GO:0016772
Medtr1g039240.1	GO:0004672,GO:0004713,GO:0005515,GO:0005524,GO:0006468,GO:0016772
Medtr1g039290.1	GO:0005515
Medtr1g039310.1	GO:0004672,GO:0004713,GO:0005515,GO:0005524,GO:0006468,GO:0016772
Medtr1g039380.1	GO:0016787
Medtr1g039380.2	GO:0016787
Medtr1g039445.1	GO:0005515,GO:0008270
Medtr1g039480.1	GO:0005515,GO:0008270
Medtr1g039990.1	GO:0003856,GO:0009073,GO:0016491,GO:0055114
Medtr1g039990.2	GO:0003856,GO:0009073,GO:0016491,GO:0055114
Medtr1g040000.1	GO:0005515
Medtr1g040020.1	GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015934
Medtr1g040020.2	GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015934
Medtr1g040020.3	GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015934
Medtr1g040073.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g040077.1	GO:0004672,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g040105.1	GO:0004489,GO:0006555,GO:0055114
Medtr1g040110.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Medtr1g040130.1	GO:0016772
Medtr1g040200.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g040330.1	GO:0006869,GO:0008289
Medtr1g040335.1	GO:0006869,GO:0008289
Medtr1g040355.1	GO:0003677,GO:0003917,GO:0005694,GO:0006265
Medtr1g040370.1	GO:0004185,GO:0006508
Medtr1g040430.1	GO:0003677,GO:0003700,GO:0006355
Medtr1g040435.1	GO:0046983
Medtr1g040500.1	GO:0008152,GO:0016746
Medtr1g040525.1	GO:0004672,GO:0004713,GO:0005515,GO:0005524,GO:0006468,GO:0016772
Medtr1g040535.1	GO:0005515
Medtr1g040545.1	GO:0004672,GO:0004713,GO:0005515,GO:0005524,GO:0006468,GO:0016772
Medtr1g040555.1	GO:0004672,GO:0004713,GO:0005515,GO:0005524,GO:0006468,GO:0016772
Medtr1g040560.1	GO:0000287,GO:0003824,GO:0005986,GO:0008152,GO:0016791,GO:0050307
Medtr1g040565.1	GO:0005515
Medtr1g040575.1	GO:0005515,GO:0016772
Medtr1g040585.1	GO:0005515
Medtr1g040595.1	GO:0016772
Medtr1g040615.1	GO:0004672,GO:0004713,GO:0005515,GO:0005524,GO:0006468,GO:0016772
Medtr1g040625.1	GO:0004672,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g040635.1	GO:0005515
Medtr1g040675.1	GO:0046983
Medtr1g040675.2	GO:0046983
Medtr1g040725.1	GO:0004252,GO:0005515,GO:0006508
Medtr1g040765.1	GO:0005515
Medtr1g040770.1	GO:0046982
Medtr1g040810.1	GO:0000159,GO:0005515,GO:0007165,GO:0008601
Medtr1g040875.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0007165,GO:0016772
Medtr1g040925.1	GO:0006511,GO:0031461,GO:0031625
Medtr1g040955.1	GO:0005488
Medtr1g040965.1	GO:0006511,GO:0031461,GO:0031625
Medtr1g040985.1	GO:0005488
Medtr1g040995.1	GO:0006511,GO:0031461,GO:0031625
Medtr1g041085.1	GO:0003824,GO:0006633,GO:0008152,GO:0016020,GO:0016747
Medtr1g041115.1	GO:0005488
Medtr1g041150.1	GO:0004672,GO:0004674,GO:0004713,GO:0005509,GO:0005524,GO:0006468,GO:0016772
Medtr1g041150.2	GO:0004672,GO:0004674,GO:0004713,GO:0005509,GO:0005524,GO:0006468,GO:0016772
Medtr1g041240.1	GO:0004221,GO:0005515,GO:0006511
Medtr1g041240.2	GO:0004221,GO:0005515,GO:0006511
Medtr1g041240.3	GO:0004221,GO:0005515,GO:0006511
Medtr1g041285.1	GO:0005509
Medtr1g041310.1	GO:0005515
Medtr1g041320.1	GO:0003735,GO:0005622,GO:0005840,GO:0006412
Medtr1g041345.1	GO:0003676,GO:0005515
Medtr1g041430.1	GO:0005515
Medtr1g041435.1	GO:0005515
Medtr1g041435.2	GO:0005515
Medtr1g041455.1	GO:0008270
Medtr1g041475.1	GO:0003824
Medtr1g041495.1	GO:0005737,GO:0017089,GO:0046836,GO:0051861
Medtr1g041495.2	GO:0005737,GO:0017089,GO:0046836,GO:0051861
Medtr1g041515.1	GO:0005515
Medtr1g041540.1	GO:0003735,GO:0005622,GO:0005840,GO:0006412
Medtr1g041550.1	GO:0000166,GO:0006952,GO:0017111
Medtr1g041615.1	GO:0003677,GO:0046983
Medtr1g041685.1	GO:0005515
Medtr1g041695.1	GO:0016021
Medtr1g041735.1	GO:0000166,GO:0003676
Medtr1g041735.2	GO:0000166,GO:0003676
Medtr1g041735.3	GO:0000166,GO:0003676
Medtr1g041735.4	GO:0000166,GO:0003676
Medtr1g041765.1	GO:0003677,GO:0003682
Medtr1g041795.1	GO:0003677,GO:0008824,GO:0009439,GO:0043565
Medtr1g041890.1	GO:0005737,GO:0006415,GO:0016149
Medtr1g041895.1	GO:0003677
Medtr1g042160.1	GO:0005515
Medtr1g042160.2	GO:0005515
Medtr1g042280.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g042280.2	GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0016772
Medtr1g042300.1	GO:0008137,GO:0010181,GO:0016651,GO:0051287,GO:0051539,GO:0055114
Medtr1g042300.2	GO:0008137,GO:0010181,GO:0016651,GO:0051287,GO:0051539,GO:0055114
Medtr1g042510.1	GO:0006511
Medtr1g042700.1	GO:0004672,GO:0004674,GO:0004713,GO:0005524,GO:0006468,GO:0016772
Medtr1g042730.1	GO:0016491,GO:0055114
Medtr1g042735.1	GO:0006508,GO:0008234
Medtr1g042800.1	GO:0046872
Medtr1g043040.1	GO:0000166,GO:0003824,GO:0005975,GO:0006108,GO:0016615,GO:0016616,GO:0030060,GO:0044262,GO:0055114
Medtr1g043050.1	GO:0003677,GO:0003682
Medtr1g043080.1	GO:0003677,GO:0003682
Medtr1g043190.1	GO:0003913,GO:0006281
Medtr1g043200.1	GO:0005315,GO:0006817,GO:0016021
Medtr1g043220.1	GO:0005315,GO:0006817,GO:0016021
Medtr1g043220.2	GO:0005315,GO:0006817,GO:0016021
Medtr1g043240.1	GO:0016787
Medtr1g043290.1	GO:0005315,GO:0006817,GO:0016021
Medtr1g043350.1	GO:0003677,GO:0003700,GO:0006355
Medtr1g043410.1	GO:0005515,GO:0008270
Medtr1g043430.1	GO:0046983
Medtr1g043690.1	GO:0016772
Medtr1g043760.1	GO:0016491,GO:0016706,GO:0055114
Medtr1g043770.1	GO:0016491,GO:0016706,GO:0055114
Medtr1g043770.2	GO:0016491,GO:0016706,GO:0055114
Medtr1g043775.1	GO:0016491,GO:0016706,GO:0055114
Medtr1g043775.2	GO:0016491,GO:0016706,GO:0055114
Medtr1g043810.1	GO:0016491,GO:0016706,GO:0055114
Medtr1g043810.2	GO:0016491,GO:0016706,GO:0055114
Medtr1g043840.1	GO:0016491,GO:0016706,GO:0055114
Medtr1g044020.1	GO:0006952
Medtr1g044120.1	GO:0003676,GO:0004386,GO:0005515,GO:0005524,GO:0008270
Medtr1g044145.1	GO:0005515
Medtr1g044210.1	GO:0000155,GO:0000156,GO:0000160,GO:0004673,GO:0005515,GO:0005524,GO:0005789,GO:0006355,GO:0009873
Medtr1g044225.1	GO:0003676,GO:0008270
Medtr1g044450.1	GO:0005515
Medtr1g044450.2	GO:0005515
Medtr1g044580.1	GO:0003676
Medtr1g044600.1	GO:0004222,GO:0005524,GO:0016020,GO:0030163
Medtr1g044650.1	GO:0016772
Medtr1g044660.1	GO:0003723,GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015935
Medtr1g044720.1	GO:0000151,GO:0004842,GO:0005515,GO:0016567
Medtr1g044785.1	GO:0005515
Medtr1g044795.1	GO:0005515
Medtr1g045040.1	GO:0003700,GO:0006355,GO:0008270,GO:0043565
Medtr1g045100.1	GO:0005515
Medtr1g045120.1	GO:0003993
Medtr1g045130.1	GO:0003723,GO:0003743,GO:0005737,GO:0006413
Medtr1g045410.1	GO:0003735,GO:0005840,GO:0006412
